               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030613,             0.02073,           0.0039217,               0.812,             0.67147,             0.74683,             0.44185,            0.037718,            0.024078,           0.0040812,             0.00307,             0.00307,             0.00307
                  37,            0.029387,            0.020121,           0.0038444,             0.79498,             0.67046,             0.73629,             0.43834,            0.037921,            0.023821,           0.0039724,            0.002872,            0.002872,            0.002872
                  38,            0.029915,            0.019191,           0.0037624,             0.75083,             0.66866,             0.74285,             0.44366,            0.037107,            0.024269,           0.0038981,            0.002674,            0.002674,            0.002674
                  39,            0.029295,            0.020516,           0.0036584,             0.80797,             0.65994,             0.75071,             0.44979,            0.037139,            0.024126,           0.0037845,            0.002476,            0.002476,            0.002476
                  40,            0.029042,            0.020175,           0.0035506,             0.80128,              0.6391,             0.74196,             0.44321,            0.036824,            0.024403,           0.0037017,            0.002278,            0.002278,            0.002278
                  41,            0.027888,            0.019692,           0.0034531,             0.83569,             0.62536,             0.74339,             0.44161,            0.036937,            0.023886,            0.003581,             0.00208,             0.00208,             0.00208
                  42,            0.028867,            0.020005,           0.0033614,             0.75461,             0.68876,             0.74924,             0.45473,            0.036921,            0.024021,           0.0035076,            0.001882,            0.001882,            0.001882
                  43,            0.027115,            0.019394,           0.0032393,               0.822,             0.65209,             0.75518,             0.46683,            0.035968,            0.024142,           0.0034209,            0.001684,            0.001684,            0.001684
                  44,            0.027661,            0.019552,           0.0031254,             0.78812,             0.66462,             0.74858,             0.45408,            0.036492,            0.024355,           0.0033413,            0.001486,            0.001486,            0.001486
                  45,            0.027378,            0.019886,           0.0030379,             0.82891,             0.64841,             0.75288,             0.45663,            0.036386,            0.024535,            0.003252,            0.001288,            0.001288,            0.001288
                  46,            0.027559,            0.019332,           0.0029485,              0.8024,             0.67723,             0.74934,             0.46327,            0.036249,            0.024477,           0.0031408,             0.00109,             0.00109,             0.00109
                  47,            0.026448,            0.018426,           0.0028416,             0.82008,             0.66989,             0.75736,             0.46221,            0.035961,            0.024171,           0.0030454,            0.000892,            0.000892,            0.000892
                  48,            0.025471,            0.018517,           0.0027647,             0.81452,             0.67723,             0.75527,             0.46397,            0.035893,              0.0246,           0.0030117,            0.000694,            0.000694,            0.000694
                  49,            0.025486,            0.018768,            0.002665,             0.77969,             0.67723,             0.75511,             0.46299,            0.035773,            0.024506,           0.0029237,            0.000496,            0.000496,            0.000496
