               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.03157,            0.016518,                   0,             0.84037,             0.73458,             0.81388,             0.44635,            0.035654,            0.015685,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.031129,            0.016055,                   0,             0.75511,             0.77261,             0.80441,             0.45029,             0.03529,            0.015769,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030966,            0.015217,                   0,             0.85544,             0.74925,             0.84173,             0.45881,            0.035262,            0.014807,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.030922,            0.016059,                   0,             0.84304,              0.7356,             0.83112,             0.46717,            0.034569,            0.014996,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.030741,            0.015818,                   0,             0.86489,             0.72868,             0.81896,             0.44905,             0.03547,            0.016072,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.031103,            0.015128,                   0,             0.81068,             0.77456,             0.84129,             0.45606,            0.035429,             0.01525,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.030595,            0.015344,                   0,             0.87393,             0.71649,             0.83166,             0.46881,            0.034664,             0.01547,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.029829,            0.015211,                   0,               0.851,             0.73792,             0.81393,             0.44626,            0.035279,            0.015873,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.029982,            0.014765,                   0,             0.86754,             0.71059,             0.81888,             0.46868,            0.034402,            0.016087,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.029621,            0.014107,                   0,             0.80471,             0.75969,             0.82343,             0.45204,            0.035049,            0.015921,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.028805,            0.014462,                   0,             0.82814,             0.72868,             0.79305,              0.4564,            0.034919,            0.016602,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.02862,             0.01528,                   0,             0.84486,             0.70359,             0.81889,             0.46941,            0.033393,            0.016093,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.028941,            0.014689,                   0,              0.8606,             0.73381,              0.8289,             0.47382,            0.034033,            0.015647,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.028591,            0.014701,                   0,             0.84423,             0.72823,             0.82255,             0.46168,            0.034115,            0.015745,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.028714,            0.014716,                   0,             0.83965,             0.75194,              0.8149,              0.4737,            0.033622,            0.016431,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.028026,            0.014378,                   0,              0.8047,             0.79845,             0.83121,             0.48179,            0.033471,            0.015669,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.027665,            0.013847,                   0,             0.79263,             0.76227,             0.81027,             0.46843,            0.033599,            0.015948,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.027929,            0.014358,                   0,             0.84368,             0.70801,             0.79957,             0.46551,            0.033645,            0.016863,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.027597,            0.013978,                   0,              0.8623,             0.74435,             0.83326,             0.48473,            0.033165,            0.015504,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.027017,             0.01375,                   0,             0.82319,             0.78553,             0.82979,             0.48231,             0.03388,            0.015884,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.026736,            0.013987,                   0,             0.83906,             0.74935,             0.81421,              0.4634,            0.033639,            0.016919,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.027021,             0.01385,                   0,             0.81389,              0.7684,             0.81518,             0.46679,            0.034147,            0.016281,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.027334,            0.014045,                   0,             0.82315,             0.73366,             0.79806,             0.45447,            0.034934,            0.017472,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.026189,            0.013445,                   0,             0.82853,             0.74915,             0.80892,             0.47806,            0.033351,            0.016893,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.026627,            0.014093,                   0,             0.86605,             0.76853,             0.82772,             0.49387,             0.03323,            0.015668,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.02658,            0.013598,                   0,             0.82069,             0.74508,             0.80124,             0.46697,            0.033535,            0.016571,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.026394,            0.013262,                   0,             0.83549,             0.76115,             0.83057,             0.48356,            0.033074,            0.015615,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.026033,            0.013321,                   0,             0.85435,             0.72753,             0.81381,             0.48287,            0.033007,            0.016513,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.025926,            0.013603,                   0,               0.849,             0.75194,             0.83502,             0.49557,            0.032844,            0.016253,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.025301,            0.013249,                   0,               0.869,             0.73707,             0.82799,             0.48924,            0.033455,             0.01581,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.025474,             0.01329,                   0,             0.86477,             0.72706,             0.82588,             0.49945,            0.032814,            0.016765,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.025543,              0.0128,                   0,             0.84763,             0.75194,             0.81895,             0.48834,            0.032954,            0.016782,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.025276,            0.013054,                   0,             0.82587,             0.78036,             0.82848,             0.49437,            0.032594,            0.016153,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.024712,            0.012926,                   0,             0.85349,             0.73757,             0.81812,             0.48976,            0.032274,            0.016502,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.024627,            0.012956,                   0,             0.81922,             0.72093,             0.81792,             0.49892,            0.032373,            0.017272,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.024387,            0.012828,                   0,             0.83799,             0.73643,              0.8179,             0.49696,              0.0322,            0.016721,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.024663,            0.012976,                   0,             0.85145,             0.74052,             0.82716,             0.49695,             0.03224,            0.016874,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.024049,            0.012824,                   0,             0.85555,             0.74993,             0.82164,             0.49212,            0.033414,            0.016553,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.024171,            0.012348,                   0,             0.85264,             0.73259,             0.82005,             0.49843,            0.032346,            0.016657,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.02353,            0.011719,                   0,             0.86731,             0.74419,             0.82081,             0.49472,            0.031951,            0.017094,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.023947,            0.012242,                   0,             0.86703,             0.72868,             0.81058,             0.48984,            0.032602,            0.017606,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.023712,            0.012237,                   0,             0.84333,             0.72868,             0.80476,             0.48799,            0.032444,            0.017994,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.023324,            0.012355,                   0,             0.82972,             0.75543,             0.82386,             0.50217,            0.032172,            0.017295,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.023155,            0.012412,                   0,              0.8216,             0.73781,             0.82471,             0.49927,            0.031898,            0.017625,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.023275,             0.01192,                   0,             0.81623,             0.77261,             0.82592,             0.49777,            0.032192,            0.017277,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.023322,            0.012268,                   0,             0.83734,              0.7582,             0.82644,             0.50229,            0.031803,            0.016767,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.022975,            0.011767,                   0,             0.83138,             0.74935,             0.81813,             0.50011,            0.031713,            0.017373,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.022636,             0.01201,                   0,             0.83443,             0.77261,             0.82189,             0.49555,             0.03156,            0.017309,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.022476,            0.011713,                   0,             0.86452,             0.73127,             0.82139,             0.49891,            0.031913,            0.018033,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.022294,             0.01156,                   0,             0.83644,             0.74001,             0.82138,             0.49976,            0.031611,            0.017816,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.02222,            0.011715,                   0,             0.85286,             0.74677,              0.8358,             0.50758,            0.031834,            0.017078,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.022246,            0.011564,                   0,             0.85178,             0.77218,              0.8398,             0.51416,            0.031392,            0.016917,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.021989,            0.011501,                   0,             0.79562,             0.78462,             0.82941,             0.51204,            0.031118,            0.017677,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.021949,            0.011593,                   0,             0.86738,             0.72671,             0.83092,             0.51046,            0.031296,            0.017111,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.021683,            0.011324,                   0,              0.8573,             0.74513,             0.83348,             0.50846,            0.031251,            0.017857,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.021628,            0.011383,                   0,             0.86717,             0.75915,             0.84324,             0.51395,            0.031485,             0.01739,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.021922,            0.011344,                   0,             0.85594,             0.76763,             0.83372,             0.50662,            0.031562,            0.017321,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.021018,            0.010972,                   0,             0.84855,             0.75969,             0.83591,             0.50826,            0.031609,            0.017425,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.021352,            0.011187,                   0,             0.84532,             0.76486,             0.82959,             0.50463,            0.031853,            0.017679,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.02096,             0.01118,                   0,             0.83909,             0.75452,             0.82907,              0.5058,            0.031897,            0.017865,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.020833,            0.011246,                   0,             0.82119,             0.77003,              0.8326,             0.50693,            0.031796,             0.01761,                   0,            0.000298,            0.000298,            0.000298
